title,authors,summaries,page
Mire megvénülünk (1. kötet),"Jókai, Mór","""Mire megvénülünk"" by Mór Jókai is a novel written in the late 19th century. The story revolves around the intertwined lives of a family struggling with joy and tragic loss, particularly focusing on a young boy named Dezső and his deep bond with his older brother, Loránd. As the narrative unfolds, the family faces a harrowing tragedy that threatens to pull them apart, highlighting themes of love, grief, and the complexities of familial relationships.   At the start of the novel, we are introduced to Dezső's idyllic childhood, filled with love and happiness within a close-knit family that includes his parents, grandmother, and brother. This blissful existence is shattered when their father suddenly dies, leading to a profound sense of confusion and despair, particularly for the young Dezső. He grapples with the concept of death, unable to fully comprehend the permanence of loss while sharing poignant moments with Loránd, who has taken on the role of protector and comforter amid the tragedy. The opening sets a poignant tone, establishing deep emotional stakes as it slowly transitions from innocence to the harsh realities of life and death. (This is an automatically generated summary.)",2
Különféle magyarok meg egyéb népek,"Tömörkény, István","""Különféle magyarok meg egyéb népek"" by István Tömörkény is a collection of short stories written in the early 20th century. The work paints a vivid picture of various aspects of Hungarian life and culture through engaging narratives and relatable characters. The stories reflect the challenges, humor, and traditions of rural communities in Hungary.  The opening of the collection introduces readers to a particular tale involving a milkman and his horse named Bársony, which has served him faithfully for six years. As the horse falls ill, both the milkman and his wife grapple with the potential loss and financial implications of its demise. The narrative takes a humorous turn as it explores the quirky dynamics between the couple, their financial struggles, and the townspeople's reactions. The scenes set a tone of both lightheartedness and poignancy, establishing Tömörkény's ability to weave social commentary into his storytelling from the very start. (This is an automatically generated summary.)",2
Népdalok és mondák (1. kötet); Magyar népköltési gyüjtemény,"Erdélyi, János","""Népdalok és mondák (1. kötet); Magyar népköltési gyüjtemény"" by János Erdélyi is a collection of folk songs and tales compiled in the mid-19th century. This work brings together various pieces of Hungarian oral tradition, emphasizing the cultural and historical significance of the country's folk poetry. The collection is likely aimed at preserving the richness of Hungarian folklore by documenting songs that span themes of love, nature, and social life.  The opening of the volume presents a comprehensive preface that outlines the motivations behind the collection of Hungarian folk poetry. Erdélyi reflects on prior efforts to gather folk songs, noting the necessity to maintain their authenticity and cultural value in the face of fading traditions. The text suggests a collaborative effort with contributions from local scholars and enthusiasts, revealing the collective endeavor to safeguard these folk expressions. Additionally, the first section introduces a series of love songs that poignantly convey the emotional landscape of Hungarian romantic relationships, setting the stage for the lyrical exploration of the genre throughout the volume. (This is an automatically generated summary.)",2
Megtörtént regék: Beszélyek,"Jókai, Mór","""Megtörtént regék: Beszélyek"" by Mór Jókai is a collection of narratives written in the late 19th century. The book explores intriguing tales that delve into human relationships, societal issues, and moral dilemmas, often featuring strong-willed and complex characters. Among them is Lady Matilda, who personifies beauty and cunning but is ultimately embroiled in a web of deceit and treachery.  The opening of the narrative introduces the reader to the context of the story through a dialogue between Nyáry Pál and another character. As Nyáry shares captivating stories from his past during a dull session of the assembly, the first tale unfolds, centering around Matilda, a beautiful and wealthy baroness. Her glamorous lifestyle masks a darker reality of debt and manipulation, as she navigates her entanglements with her estranged husband and his inheritance. The narrative hints at Matilda’s duplicitous nature and foreshadows the unfolding drama that revolves around her quest for wealth and status, while also establishing the themes of betrayal and the intricate workings of law and morality. (This is an automatically generated summary.)",2
Antigone,Sophocles,"""Antigone"" by Sophocles is an Athenian tragedy written in either 442 or 440 BC. When Creon, the new ruler of Thebes, forbids the burial of Polynices—a brother who died fighting for the opposing side in a civil war—his niece Antigone faces an impossible choice. She must decide between obeying her uncle's decree or honoring divine law and family duty by burying her brother. Her defiance sets off a clash between human authority and sacred obligation that threatens to destroy them all. (This is an automatically generated summary.)",2
Hazai rejtelmek: Regény (1. kötet),"Kuthy, Lajos","""Hazai rejtelmek: Regény (1. kötet)"" by Lajos Kuthy is a novel published in serialized form between 1846-1847. Inspired by Eugène Sue's ""Les Mystères de Paris,"" this Hungarian mystery follows two feuding branches of the Szalárdy family in Pest and the Hungarian plains. When ambitious nobleman György conspires to destroy his brother Elek's orphaned son Ödön through false imprisonment and attempts on his sanity, the young heir must survive among criminals and beggars before uncovering dark family secrets that will restore justice. (This is an automatically generated summary.)",2
Grimm testvérek összegyüjtött meséi,"Grimm, Jacob, Grimm, Wilhelm","""Grimm testvérek összegyüjtött meséi"" by Jacob Grimm and Wilhelm Grimm is a collection of fairy tales first published in 1812. Two brothers transform oral traditions into written history, gathering folk stories from friends and old books across Germany. What begins as 86 tales grows through seven editions into 200 stories that will define Western children's literature. Born from financial hardship and scholarly passion, these collected tales undergo constant revision—wicked mothers become stepmothers, unsuitable content shifts and changes. The brothers preserve a disappearing world of German folklore, creating a work UNESCO now honors in its Memory of the World Register. (This is an automatically generated summary.)",2
Dekameron (1. rész): Száz novella,"Jókai, Mór","""Dekameron (1. rész)"" by Mór Jókai is a collection of novellas written in the late 19th century. The work explores the narratives of characters set against historical backdrops, delving into their experiences and emotions in the context of Hungarian history. Through its luxuriant prose, it portrays the lives of notable figures and the common folk of Esztergom, capturing the vibrant culture and the impending threats of their era.  The opening of this volume introduces readers to an intriguing blend of history and character reflection, primarily focusing on the past glories and decadence of Esztergom. The narrator, who possesses the skull of Karadzim khán, reflects upon the historical significance and beauty of the city while longing for its former splendor. The text paints a vivid picture of a bustling town filled with diverse cultures, commerce, and the enchanting beauty of women, yet it ominously foreshadows the devastating arrival of the Tatars. Through the character of Berta, the belle of the town, the narrative hints at impending tragedy as the threat of invasion looms, underscoring themes of beauty, loss, and resilience amidst turmoil. (This is an automatically generated summary.)",2
Álomvilág: Elbeszélések,"Ambrus, Zoltán","""Álomvilág: Elbeszélések"" by Zoltán Ambrus is a collection of short stories written in the early 20th century. The book explores themes of dreams, adventure, and mystical encounters through the experiences of its young protagonist. The narrative blends elements of fantasy and reality, rich in imagery and emotional depth.  The opening of ""Álomvilág"" introduces the reader to a young boy who escapes from the confines of a large blue room, symbolizing the limitations of his everyday life. As he ventures into a dreamlike landscape, he encounters enchanting elements such as a shimmering river and a mysterious girl named Pókháló, who embodies a fairy-like persona. She offers him a life of happiness away from home but warns that he can never return. The story sets the tone for the rest of the collection, hinting at the interplay between desire and consequence in the realm of dreams and imagination. (This is an automatically generated summary.)",2
Nincsen ördög; A Magláy család; A ki holta után áll boszut,"Jókai, Mór","""Nincsen ördög; A Magláy család; A ki holta után áll boszut"" by Mór Jókai is a novel written in the late 19th century. The book explores the lives and experiences of its characters as they navigate various societal and personal challenges, intertwining themes of family and fate. The narrative begins with a journey on a train, gradually introducing key figures, including a wealthy family and a mysterious child.  The opening of the novel sets a vivid scene aboard a train traveling through picturesque landscapes, where a narrator encounters various characters, including a rich nobleman's entourage and a quiet, mute child named Jemmy. As the journey progresses, a conversation unfolds between the narrator and a doctor regarding the boy's past and his speech difficulties. This portion lays the groundwork for themes of connection, misunderstanding, and the complexities of human relationships, hinting at how these elements could intertwine in the greater narrative of the novel. (This is an automatically generated summary.)",2
Thury Zoltán összes művei (1. kötet): Ketty és egyéb elbeszélések,"Thury, Zoltán","""Thury Zoltán összes művei (1. kötet)"" by Zoltán Thury is a collection of stories likely written in the early 20th century. The compilation includes various narratives that explore different aspects of life, highlighting themes such as social issues, personal struggles, and interpersonal relationships. The stories likely reflect the societal dynamics and challenges of the time, as seen through the eyes of everyday characters.  At the start of the collection, the opening story introduces us to Huber, a new landlord of a rundown apartment building who is focused on collecting rent from his tenants. As he interacts with the landlady, we learn about the struggles of the building’s residents, particularly a poor painter who faces eviction due to unpaid rent. The painter is depicted as a sensitive individual caught in a cycle of financial distress and desperation, expressing thoughts of self-harm. In parallel, a young girl named Ketty, the landlord's daughter, expresses a desire to have her portrait painted, providing a glimpse of hope amid the melancholy. The beginning effectively sets the stage for a deeper exploration of the characters' lives and the societal circumstances surrounding them in the following stories. (This is an automatically generated summary.)",2
Föld felett és viz alatt; A véres kenyér; A szegénység utja,"Jókai, Mór","""Föld felett és viz alatt; A véres kenyér; A szegénység útja"" by Mór Jókai is a novel written in the late 19th century. The work delves into the tumultuous historical context of Hungary, exploring themes of war, survival, and societal change through the experiences of its characters. Among them is Isaszeghy Gábor, a nobleman navigating a world ravaged by conflict and personal strife, reflecting on the devastation left behind by warfare and the quest for meaning and power amidst chaos.  The opening of the narrative sets a vivid scene in a barren landscape, showcasing the aftermath of futile conflicts and the desolation of war-torn territories. It introduces Isaszeghy Gábor, who faces the harsh realities of his environment, contemplating the devastating impact of years of strife on his land and people. As he recounts the history of his region and his personal journey, the reader is drawn into the broader narrative of survival and the search for wealth and glory, setting up a dramatic tale of adventure, misfortune, and complex character dynamics against a backdrop of societal upheaval. (This is an automatically generated summary.)",2
A Noszty fiu esete Tóth Marival (1. kötet),"Mikszáth, Kálmán","""A Noszty fiu esete Tóth Marival (1. kötet)"" by Kálmán Mikszáth is a novel written in the early 20th century. This work is a keen exploration of a young man's adventures and romantic entanglements, particularly focusing on the character of Noszty Ferencz, a charming but financially beleaguered lieutenant. The story delves into the themes of social status, love, and the humorous trials of its main characters amidst the societal backdrop of Hungary.  The opening of the novel introduces the protagonist, Noszty Ferencz, as a dashing young officer in a garrison town teeming with romantic prospects due to a nearby detachment of soldiers. Captivated by beautiful women and burdened with debts from his romantic pursuits, Noszty finds himself drawn to the lovely Velkovics Rozáliát, despite her pending engagement to another man. The narrative further explores the interactions and varying opinions of the influential figures surrounding Rozália, particularly her father, who disapproves of Noszty's social standing. As the young lieutenant's financial troubles deepen, he devises a risky plan that sets the stage for the unfolding drama, highlighting the immediate obstacles and humorous predicaments that accompany love and ambition in the context of their society. (This is an automatically generated summary.)",2
Édes anyaföldem! : Egy nép s egy ember története (1. kötet),"Benedek, Elek","""Édes anyaföldem! : Egy nép s egy ember története (1. kötet)"" by Elek Benedek is a historical narrative written in the early 20th century. The work appears to chronicle personal memories intertwined with the history of the Hungarian people, focusing on the author's homeland and his familial heritage. Through intimate storytelling, the author intends to illustrate the struggles and resilience of the Székely people, drawing upon both idyllic and dramatic elements from his life.  The opening of the narrative introduces the author’s reflective journey as he recalls his small village, Kisbaczon, its unique charm, and the lives of its inhabitants, especially his family. He begins with a poignant admission of having started the book amidst personal and national turmoil, suggesting a desire to document the history of a people who have faced numerous adversities. The text vividly describes the village's character—the lush landscapes, the close-knit community, and the lineage of its families—underscoring the author's nostalgia and emotional connection to his roots. As he recounts his ancestry, he highlights notable figures in his family, particularly his grandfathers, whose legacies deeply impacted his personal development and understanding of identity. (This is an automatically generated summary.)",2
Régi magyar vitézi énekek és elegyes dalok (1. kötet),"Thaly, Kálmán","""Régi magyar vitézi énekek és elegyes dalok (1. kötet)"" by Kálmán Thaly is a collection of historical poems and songs compiled during the mid-19th century. This volume focuses on gathering original manuscripts and previously dispersed printed works from the 16th, 17th, and 18th centuries, showcasing Hungary's rich poetic heritage. The collection emphasizes themes of heroism, national identity, and cultural expression through traditional Hungarian verses, which celebrate the valiant past of the nation and its integral history.  The opening of this compilation reveals Thaly's deep commitment to preserving the Hungarian poetic tradition, which he believes has been diminished over time. He expresses his admiration for the lyrical nature of the Hungarian people, illustrating how songs have documented their experiences of longing, loss, and valor throughout history. Thaly explains the challenges of gathering these songs, reminiscing about the wealth of lost works that reflect Hungary's distinct culture. Through this meticulous archival effort, Thaly aims to enrich the current landscape of Hungarian literature with these expressive, historical pieces. (This is an automatically generated summary.)",2
Tündérkert: Szépasszonyok hosszú farsangja,"Móricz, Zsigmond","""Tündérkert: Szépasszonyok hosszú farsangja"" by Zsigmond Móricz is a historical novel written in the early 20th century. The book is set in the 17th century, focusing on the era of Gábor Báthory, a prince of Transylvania, and his interactions with significant characters, including his wife and various noble figures. The narrative likely explores themes of power, politics, and romance amidst historical turmoil, reflecting on the complexities of personal relationships against a backdrop of shifting loyalties.  The opening of the novel presents a vibrant scene filled with anticipation as townspeople gather outside a grand residence, eagerly awaiting the arrival of the young fejedelemasszony (princess). Through the eyes of a curious doorkeeper, readers are introduced to the characters, including the fejedelem, who displays a youthful charm, and his wife, who enters in a stunning golden gown. The atmosphere is charged with the juxtaposition of courtly elegance and underlying tensions, setting the stage for conflicts that emerge from personal desires and political ambitions. As the chapter unfolds, it becomes clear that the fejedelem's relationships with influential women and the expectations of his role are central to the narrative's development. (This is an automatically generated summary.)",2
Az arany ember (1. rész): Regény,"Jókai, Mór","""Az arany ember (1. rész)"" by Mór Jókai is a novel published in 1872. When the steamship Szent Borbála navigates the treacherous Danube, shipmaster Timár Mihály encounters deadly storms, Turkish warships, and mysterious passengers. After rescuing a Turkish treasurer's daughter and inheriting a hidden fortune, Timár must navigate both river perils and human greed. He also discovers an enchanted island inhabited by refugees from society, where a beautiful young woman named Noémi lives in exile with her mother. (This is an automatically generated summary.)",2
Rákóczy fia: Regény,"Jókai, Mór","""Rákóczy fia: Regény"" by Mór Jókai is a historical novel written in the late 19th century. The story is set in the context of the struggles and tribulations of two sons of Prince Rákóczi, who find themselves captured and brought to Vienna during a tumultuous period. The narrative revolves around their upbringing and education, primarily focusing on the character of Giorgio Giunchi, the younger son, and the various influences surrounding him.  The opening of the novel introduces Rákóczi's two sons, who were taken captive as children and brought to Vienna. While their mother resides in a monastery, Giorgio and his older brother receive a careful education tailored to their noble status. As the story unfolds, Giorgio's character is showcased through his interactions during examinations and with his tutors, revealing a mix of youthful exuberance and the struggles of his identity as the son of a nobleman in exile. The complexities of their upbringing, particularly Giorgio’s efforts to understand his roots amidst a backdrop of political turmoil, set the stage for deeper explorations of loyalty, identity, and the pursuit of freedom throughout the narrative. (This is an automatically generated summary.)",2
Fekete gyémántok,"Jókai, Mór","""Fekete gyémántok"" by Mór Jókai is a novel written in the late 19th century. The book seems to explore themes of creation and the evolution of life on Earth through a blend of fantasy and scientific concepts, as it recounts a dramatic depiction of prehistoric existence, touching on geological formations, ancient organisms, and the eventual emergence of humanity.   At the start of the narrative, the reader is introduced to a world from the distant past, where the earth is an untamed wilderness and prehistoric creatures roam freely. The prose outlines the creation of the world, the layers of geological history, and vividly describes the flora and fauna that existed long before human beings. As the tale progresses, it transitions from the grand features of nature and the life that once dominated it to a focus on a solitary man who navigates the dark, perilous depths of a coal mine, battling both the physical dangers of mining as well as profound existential concerns about life and death in this haunting, subterranean realm. (This is an automatically generated summary.)",2
A Bakony (2. kötet),"Eötvös, Károly","""A Bakony (2. kötet)"" by Károly Eötvös is a historical account written in the late 19th century. The work delves into the life and legacy of Sobri Joska, a notorious bandit from the Bakony region of Hungary, exploring the various legends surrounding him and his companions. It seems to engage with both factual recounting and folklore, illustrating Sobri’s impact on local culture and memory.  The opening of the work introduces the character of Sobri and sets the stage for an exploration of his life, delving into public curiosity about his identity after he vanished nearly sixty-nine years prior. It highlights questions surrounding his past, such as whether he was truly a nobleman or simply an enigmatic outlaw. This section suggests that Eötvös intends to unravel myths and mende-mondák (folk tales) related to Sobri Jóska, including accounts of his notable companions, deeds, and the folklore that has grown around his name. It reflects on the intersection of history and storytelling, hinting at a rich narrative that captures the essence of Hungarian culture and memory. (This is an automatically generated summary.)",2
A Noszty fiu esete Tóth Marival (2. kötet),"Mikszáth, Kálmán","""A Noszty fiú esete Tóth Marival (2. kötet)"" by Kálmán Mikszáth is a novel written in the early 20th century. The story takes place in a rural Hungarian setting and seems to revolve around the social dynamics and romantic entanglements of its characters. The central figures include Noszty, a young man, and Tóth Mari, who is caught up in the intricacies of love and societal expectations, which likely leads to humorous and poignant situations throughout the narrative.  The opening of the novel introduces a lively gathering at a vineyard, filled with familiar characters engaging in light-hearted banter. We see the Velkovics family and their acquaintances preparing for the grape harvest, which sets the stage for unfolding relationships and tensions. Tóth Mari is depicted as being particularly affected by recent events, hinting at deeper emotional developments as the vineyard festivities progress. There is suspicion and intrigue surrounding her interactions, especially with the rumored presence of a brigand known as Patkó, which adds a layer of suspense to the social atmosphere. As the characters navigate their relationships and miscommunications, the opening suggests a blend of comedy, drama, and romance in their stories. (This is an automatically generated summary.)",2
Vadon virágai,"Jókai, Mór","""Vadon virágai"" by Mór Jókai is a novel written in the late 19th century. Set in a barren mountain valley in Hungary, this story explores themes of loss, abandonment, and the echoes of past glory through the tragic history of a once-vibrant land and its fading inhabitants. The narrative introduces Barlavit, a fallen hero whose legacy haunts the landscape, and his descendant, Adonis, whose unrequited love and despair drive the plot forward.  At the start of the novel, the setting is described in vivid detail, emphasizing the desolation of a lonesome valley that was once thriving but is now devoid of life. The young Adonis, the only surviving descendant of Barlavit, is depicted in a state of melancholy as he yearns for the love of a girl living in a silent, neglected mansion nearby. The eerie connection between the past and present is established through the mention of Márcze Záre, a mysterious figure tied to dark legends who seems to hold the key to the valley's past heartaches. The opening sets a somber tone, hinting at tumultuous events and the struggles of love, fate, and the inexorable passage of time. (This is an automatically generated summary.)",2
Andor: Regény,"Molnár, Ferenc","""Andor: Regény"" by Ferenc Molnár is a novel written in the early 20th century. The story seems to follow the character Andor, a young man navigating his responsibilities and relationships in Budapest, particularly in the context of significant changes in his life, the loss of his parents, and the complexities of young love.   The opening of the novel sets a somber and reflective tone as it introduces Andor during the early hours of dawn, crossing the Margit Bridge from Pest to Buda. Alone and tired, he contemplates the tranquility around him while grappling with his loneliness in the wake of his mother's death and his father's declining health. The narrative then shifts to Andor's home, where he reflects on his past, his relationships, particularly with Turnovszky Ella, and his impending move to a new apartment. As he prepares to leave his childhood home, the emotional weight of farewell looms large, underscored by memories of love, family tension, and the anxiety of stepping into adulthood. With layers of introspection and developing character dynamics, the beginning lays a strong foundation for the narrative's exploration of personal growth and the inevitabilities of life. (This is an automatically generated summary.)",2
Hétfalusi csángó népmesék; Magyar népköltési gyüjtemény 10. kötet,,"""Hétfalusi csángó népmesék; Magyar népköltési gyüjtemény 10. kötet"" by Antal Horger is a collection of folk tales written in the early 20th century. The work focuses on the rich tradition of storytelling among the Hétfalusi Csángós, a Hungarian minority group residing in Romania. This volume aims to preserve their cultural heritage through captivating narratives filled with elements of magic, morality, and the struggles of the human condition.  The beginning of the collection introduces the context of the tales and the environment from which they originate. It includes a foreword that explains the significance of collecting these stories, emphasizing the ongoing importance of folk traditions. Following this, an introduction provides background information on the Hétfalusi Csángós, detailing their unique history and cultural traits. The stories commence with a tale about a king, his enchanted bird that lays golden eggs, and his sons who navigate family intrigue and danger, setting the tone for the magical and adventurous narratives to follow. This initial narrative hints at themes of betrayal, loyalty, and courage, engaging the reader to delve deeper into the collection. (This is an automatically generated summary.)",2
Századunk magyar irodalma képekben: Széchenyi föllépésétől a kiegyezésig,"Endrődi, Sándor","""Századunk magyar irodalma képekben: Széchenyi föllépésétől a kiegyezésig"" by Endrődi Sándor is a historical account written in the late 19th century. The book provides an overview of Hungarian literature from the period of Széchenyi's emergence as a national figure to the Compromise that defined Hungary's status in the Austro-Hungarian Empire. The work aims to enliven the somewhat dry material of literary history, making it accessible to the general public, particularly targeting the youth and women.  The opening of the book presents an introduction where the author reflects on the significance of the time period covered and the challenges of addressing such a vast subject within the constraints of a single volume. Endrődi expresses his concerns about adequately capturing the literary movements and influential figures that emerged during a dynamic and transformative era in Hungary, characterized by political struggles and the fight for national identity. He emphasizes the importance of literature as a refuge and a means of expression for the Hungarian people, who faced multiple societal and political adversities, highlighting Széchenyi's pivotal role in shaping national consciousness through literature and reform initiatives. (This is an automatically generated summary.)",2
Magyar titkok: Regény (3. kötet),"Nagy, Ignácz","""Magyar titkok: Regény (3. kötet)"" by Ignácz Nagy is a romantic novel published between 1844-1845. The story follows Bende, a brave hero who pursues Sobri, a master of disguise and seducer of women through the streets of Pest. Yet this is more than a crime tale—it's a vivid portrait of 1840s Budapest life. Through episodic sketches, Nagy reveals the capital's colorful characters and distinctive locations, from gambling dens to taverns, creating the first broad panorama of Pest in Hungarian literature. (This is an automatically generated summary.)",2
A könyv története (1. rész): A magyar könyvnyomtatás és könyvkereskedelem rövid története a legrégibb időktől napjainkig,"Steinhofer, Károly","""A könyv története (1. rész)"" by Károly Steinhofer is a historical account written in the early 20th century. This work provides a concise exploration of the history of book printing and book trading in Hungary, from ancient times up to the present conditions of its authorship and publishing, emphasizing its significance in the development of culture and knowledge.   The opening of the book outlines the author's intention to summarize the historical progress of book printing, beginning with the early techniques before Gutenberg, and extending to the introduction of movable type in Hungary. Steinhofer sets the stage by recounting the various methods of book reproduction used in ancient times, leading to a discussion on the revolutionary impact of Gutenberg's invention in the 15th century. The narrative touches on the cultural transformation brought about by the spread of printed materials, thus heralding the profound effects of printing on society and education. (This is an automatically generated summary.)",3
Mikor a mécses már csak pislog: Elbeszélések,"Mikszáth, Kálmán","""Mikor a mécses már csak pislog: Elbeszélések"" by Kálmán Mikszáth is a collection of short stories written in the early 20th century. This work explores social themes and anecdotes centered around the lives of the Budai citizens, particularly focusing on the intimate space of local taverns, their patrons, and day-to-day experiences. The characters come to life through witty observations and a clear depiction of societal norms of the time.  The opening of the collection introduces the reader to the tavern called ""Fehér Páva,"" where the colorful interplay between regular patrons and newcomers unfolds. One of the central figures is an endearing young girl referred to as ""sipsirica,"" who is both charming and innocent. As the narrative reveals her interactions with the eccentric characters that frequent the ""Páva,"" it hints at underlying themes of family, social class, and the simple joys and conflicts of life in Budapest. The emerging dynamics include humorous exchanges and hints of romance, establishing a strong sense of community and vivid characterization right from the start. (This is an automatically generated summary.)",3
Magyar titkok: Regény (1. kötet),"Nagy, Ignácz","""Magyar titkok: Regény (1. kötet)"" by Ignácz Nagy is a romantic novel published in 1844–1845. The brave and clever narrator Bende pursues Sobri, a master of disguise who seduces women and commits crimes across Pest. While the detective story provides a ""red thread"" connecting episodes, the work's true value lies in its vivid portraits of 1840s Pest-Buda life. Through Bende's adventures, Nagy presents a colorful panorama of the emerging capital's characteristic locations, social types, and daily customs, creating the first wide-ranging literary portrait of the city. (This is an automatically generated summary.)",3
Zágoni Mikes Kelemen törökországi levelei (1. kötet),"Mikes, Kelemen","""Zágoni Mikes Kelemen törökországi levelei (1. kötet)"" by Kelemen Mikes is a collection of 207 fictional letters written between 1717 and 1758. Composed during his Turkish exile following the Rákóczi independence war's failure, Mikes addressed these letters to an invented countess living near Constantinople. The letters chronicle the daily lives of exiles, reflect the author's emotional fluctuations, and include historical anecdotes. They blend descriptions of Ottoman customs with personal reflections, evolving from hopeful expectations of return to resigned acceptance of fate, all expressed through conversational elegance and gentle humor. (This is an automatically generated summary.)",3
Apró bűnök : $b Elbeszélések,"Tormay, Cécile",,3
Eredeti népmesék,"Arany, László","""Eredeti népmesék"" by László Arany is a collection of traditional Hungarian folk tales, likely written in the mid-19th century. The book features a variety of stories that capture the rich heritage of Hungarian folklore, presenting tales of kings, magical creatures, and moral lessons.   The opening of the collection introduces a story about a blind king who possesses a remedy for his blindness but refuses to reveal it. His three sons, determined to help him, conspire to discover the cure. The youngest son bravely confronts his father and learns that the king can only regain his sight by hearing the song of a magical bird. The story unfolds with the brothers journeying to find this bird, setting the stage for their adventures and the tests of character that follow. Each tale within the collection promises to explore themes of bravery, love, and the consequences of one's actions, highlighting the cultural and moral fabric of Hungarian tradition. (This is an automatically generated summary.)",3
Tanár úr kérem: Képek a középiskolából,"Karinthy, Frigyes","""Tanár úr kérem: Képek a középiskolából"" by Frigyes Karinthy is a collection of sketches first published in 1916. Through vivid vignettes of student life, Karinthy recreates the everyday dramas of the classroom: students rushing late to school, fumbling through unprepared recitations, selling textbooks for pocket money, and erupting into uncontrollable laughter. These interconnected tales blur the line between memory and imagination, capturing both the absurdity and authenticity of adolescent experience in a Hungarian secondary school. The work has become one of Hungary's most beloved literary works. (This is an automatically generated summary.)",3
Rab Ráby: Regény,"Jókai, Mór","""Rab Ráby: Regény"" by Mór Jókai is a novel written in the late 19th century. The story explores the historical context of legal practices in Budapest before the establishment of public attorneys, focusing on the life of its main character, Mathias Ráby, who becomes the first independent lawyer in the city. Through his journey, the book likely delves into themes of justice, societal change, and the struggles of the common people.  At the start of the novel, the narrative sets a vivid scene of Budapest a century ago, detailing the absence of public advocates and the legal challenges faced by the common folk. The protagonist, Mathias Ráby, emerges from a backdrop of societal inefficiency and injustice, recognizing a critical need for representation. The opening chapters introduce a legal assembly where Ráby aspires to fill the gap for the marginalized populace who lack legal protection against their oppressors. Through lively dialogues and humorous interactions among officials, the text paints a rich tapestry of character and setting, establishing the groundwork for Ráby’s mission as a pioneering figure in a struggling legal system. (This is an automatically generated summary.)",3
Hazai rejtelmek: Regény (2. kötet),"Kuthy, Lajos","""Hazai rejtelmek: Regény (2. kötet)"" by Lajos Kuthy is a novel published in 1846–1847. Inspired by Eugène Sue's ""The Mysteries of Paris,"" this Hungarian romantic crime story follows two families—one virtuous, one corrupt—in Pest and the Hungarian plains. Young Ödön Szalárdy suffers persecution from his ambitious uncle, who seeks to destroy him and steal his inheritance through conspiracy and violence. The tale weaves murder, false imprisonment, and dark secrets with vivid descriptions of the Hungarian landscape and folk life, ultimately leading to justice and redemption. (This is an automatically generated summary.)",3
Esztike kisasszony professzora: Regény,"Pálffy, Albert","""Esztike kisasszony professzora: Regény"" by Albert Pálffy is a novel written in the early 20th century. The story revolves around the Dorozsmay family, particularly their daughter Esztike, as well as other various characters navigating love, wealth, and social status in Hungarian society following the tumultuous history of the late 19th century. The narrative likely explores themes of familial duty, romantic aspirations, and the intricacies of social relationships amid changing fortunes.  The opening of the novel introduces readers to the origins and fortunes of the Dorozsmay family, recounting their historical struggles and eventual rise to wealth. It begins with a reflection on the family's past, highlighting significant ancestors and their fates, along with the current circumstances of Kálmán, a member of the family who inherits a modest estate after a series of misfortunes. As the plot unfolds, the focus shifts to the contemporary life of Kálmán’s daughter, Esztike, and examines her upbringing, prospects, and interactions with prospective suitors, mingling elements of romance and societal expectations as the characters seek their aspirations. (This is an automatically generated summary.)",3
Az egri csillagok (I. kötet) : $b Bornemissza Gergely élete,"Gárdonyi, Géza","""Az egri csillagok (I. kötet): Bornemissza Gergely élete"" by Géza Gárdonyi is a historical novel published in 1901. Set during the Ottoman occupation of 16th-century Hungary, it follows young Bornemissza Gergely and Cecey Éva from childhood through the legendary siege of Eger in 1552. After being kidnapped by Turkish raiders as children, their lives intertwine through adventure, captivity, and romance, culminating in the heroic defense of Eger fortress where a small Hungarian garrison faces an overwhelming Ottoman army in a battle that would help define Europe's borders for generations. (This is an automatically generated summary.)",3
"Élet, halál","Szép, Ernő","""Élet, halál"" by Ernő Szép is a literary collection written in the early 20th century. This work, blending prose and poetry, immerses the reader in the experiences and emotions surrounding life during wartime, particularly focusing on the perspective of Hungarians. The book explores themes of national identity, suffering, hope, love, and the tension between life and death, all set against the somber backdrop of war. Rather than following a single protagonist, it presents a mosaic of voices, reflections, and brief stories, painting a collective portrait of a nation under the strain of conflict.  The opening of ""Élet, halál"" moves through a series of lyrical prayers, vivid wartime observations, and poignant personal stories and sketches. It begins with a heartfelt prayer asking for divine protection for the Hungarian people, followed by expressive meditations on the war, the pain and camaraderie of soldiers, and the longing for peace. Szép alternates between prose and poetry, weaving together fragments of battlefield memories, the everyday heroism and suffering of civilians and soldiers, and the subtle beauty of ordinary moments—such as the story of an old woman donating handmade pillows or delicate ruminations on a sigh or a smile. The tone is alternatingly elegiac, observant, tender, and quietly ironic, giving readers immediate access to the emotional core of a society shaped by war. (This is an automatically generated summary.)",3
